Air_Quality_Index,Water_Quality_Index,CO2_Growth_Rate,Green_Areas,Renewable_Energy_Usage,Temperature,waste_water_treatment,solid_waste_treatment,Environmental_Health_Score
68,60,-2,50,51,18,73,75,63
207,61,19,54,15,-4,21,20,11
135,50,4,24,36,26,61,46,49
293,8,15,8,8,39,7,5,16
176,58,18,68,61,36,93,45,30
82,76,-1,55,47,17,71,60,73
133,43,3,37,28,10,68,57,53
125,54,0,31,26,29,58,40,56
23,3,13,58,98,-13,72,44,47
217,1,19,8,8,-4,6,14,12
49,94,-10,78,68,32,94,88,93
214,65,-5,30,25,13,71,82,24
4,87,-9,65,74,33,90,87,87
39,81,-7,67,66,31,99,81,82
19,92,-6,66,68,34,95,95,85
186,25,7,10,17,32,25,38,37
206,15,17,6,8,37,11,5,16
86,64,-3,48,57,22,72,61,68
287,12,11,5,8,36,7,16,5
279,68,9,69,85,-5,20,77,58
169,33,8,17,16,34,37,38,31
169,26,6,19,13,5,31,34,21
116,54,0,21,30,25,54,58,43
181,30,5,10,15,9,22,21,35
9,85,-8,72,60,33,98,94,93
292,15,12,8,8,35,7,9,18
124,41,3,21,30,26,46,45,49
65,75,-3,47,49,18,72,78,74
124,49,4,37,33,26,65,51,45
215,48,17,79,56,31,81,19,26
57,70,-4,51,45,19,79,60,71
113,54,0,35,29,25,62,55,51
27,84,-10,73,72,30,93,97,97
293,3,14,6,9,-5,10,17,1
23,83,-7,64,64,32,95,86,93
156,28,5,11,17,6,34,34,26
164,48,2,33,85,37,91,55,2
192,68,16,79,5,24,17,68,61
75,0,12,21,39,21,5,69,62
187,56,4,30,45,34,30,9,83
37,82,17,70,98,32,22,20,54
163,38,5,15,17,33,33,24,36
31,86,-7,77,75,32,91,86,96
145,57,4,32,23,10,42,56,50
68,2,12,36,87,33,23,93,84
46,91,10,70,1,26,28,8,18
55,68,-5,45,44,15,79,67,66
80,67,-4,56,48,18,72,70,60
151,34,9,17,17,34,23,20,23
63,60,-4,55,54,24,70,66,76
56,69,-1,54,43,16,71,76,71
132,41,0,36,30,11,61,56,43
122,49,2,39,29,28,66,57,53
183,21,9,19,15,8,15,32,20
245,32,19,31,41,35,82,14,35
198,33,9,15,12,34,29,32,36
35,84,-8,68,77,32,92,81,88
97,64,-1,59,57,22,78,75,61
236,12,13,9,8,35,5,17,3
221,16,13,9,9,35,8,10,14
273,1,15,7,8,38,14,9,0
216,7,10,7,6,36,6,19,8
37,94,-10,73,77,31,90,97,84
210,7,14,9,7,-4,9,10,16
296,13,17,7,8,-2,9,10,13
121,52,2,21,33,29,43,55,59
62,62,-5,57,50,18,70,68,65
229,16,16,7,9,36,8,14,4
36,88,-8,72,72,34,99,90,84
210,5,17,7,5,-5,8,13,14
154,31,9,11,12,7,18,23,30
29,91,-8,79,79,33,93,90,92
265,18,13,5,5,36,12,19,6
160,37,7,13,12,7,18,24,20
147,48,0,33,34,25,60,42,55
267,11,13,9,9,35,6,9,11
13,92,-6,66,74,31,98,96,84
122,2,8,9,91,13,83,39,5
4,97,-10,79,70,31,97,91,85
178,29,7,12,15,30,21,31,36
175,37,7,16,16,31,20,23,31
169,34,12,5,67,2,77,33,76
4,98,-9,71,76,31,91,85,87
197,21,7,17,16,32,36,26,26
41,85,-7,60,66,30,97,84,98
222,8,16,8,5,37,13,10,1
12,80,-9,75,74,34,90,86,96
143,52,2,37,34,25,60,46,52
68,78,-2,47,42,22,75,76,63
48,89,-7,76,63,31,96,81,97
46,83,-10,66,78,32,95,85,99
21,87,-10,79,60,30,99,91,95
190,38,6,10,12,6,16,36,37
99,73,-5,42,55,20,79,75,67
127,57,3,38,34,13,46,52,42
27,90,-10,69,70,32,95,99,91
58,63,7,17,3,1,18,82,12
225,9,19,5,6,1,13,13,13
18,96,-10,2,41,5,44,71,24
93,76,-5,47,45,21,75,64,72
185,35,7,16,19,5,16,34,24
188,22,7,14,16,6,36,30,22
90,75,-2,40,43,21,70,66,71
294,7,11,5,5,38,7,15,0
262,7,13,8,5,36,11,9,16
296,15,18,9,9,39,9,14,10
152,53,18,66,5,-10,57,70,57
37,85,-9,71,72,34,94,95,90
59,66,-3,58,45,23,78,79,68
263,1,18,7,8,35,14,8,2
2,97,-10,65,60,34,99,85,91
102,41,1,35,31,25,60,47,55
105,42,3,35,38,29,61,53,44
44,94,-9,64,76,30,96,85,90
103,48,4,37,34,28,54,41,54
110,47,4,25,26,25,66,57,59
225,15,15,7,5,-5,14,7,0
270,5,17,5,5,-5,12,19,6
47,90,-8,66,66,31,99,98,88
176,22,6,18,10,34,17,37,28
142,31,17,21,16,10,75,61,25
107,40,0,20,23,28,68,57,50
14,89,-9,73,76,32,90,84,92
161,29,5,17,11,5,39,27,33
105,44,2,28,28,27,58,55,55
232,18,1,8,70,12,82,99,51
60,64,-1,57,54,20,75,67,71
298,60,16,60,73,-13,95,39,94
156,35,8,17,16,30,37,22,38
172,30,9,13,14,34,18,23,23
259,9,19,6,6,-3,5,12,9
178,25,6,16,14,5,17,20,23
256,4,9,7,42,-4,5,61,63
102,56,0,28,30,29,49,42,57
154,22,9,13,10,31,25,20,26
160,51,14,13,74,37,63,82,93
298,3,11,6,8,0,11,14,18
14,89,-7,62,74,33,94,85,80
241,7,15,7,5,-5,13,18,14
138,56,0,27,30,28,67,40,46
235,4,14,5,8,2,8,17,14
236,58,-9,75,9,28,15,83,79
43,14,8,62,34,1,39,23,19
9,81,-9,76,75,34,97,80,90
271,9,19,8,5,-1,14,9,17
165,22,5,14,18,6,36,28,26
294,18,14,9,9,-4,14,16,1
31,81,-7,70,62,30,97,94,95
4,94,-10,62,71,31,90,96,95
290,15,18,9,7,38,8,7,16
138,44,0,35,21,25,47,58,50
227,14,11,8,7,-5,9,11,17
67,77,-4,55,59,19,71,76,68
67,68,-3,44,45,22,75,60,79
139,43,2,38,25,12,52,50,52
81,66,-2,58,49,17,78,78,61
30,94,-9,79,71,30,96,87,84
144,40,1,30,35,10,64,57,51
96,84,18,8,5,35,39,43,21
32,80,-10,79,72,30,92,86,85
190,22,8,16,11,34,23,30,24
77,69,-4,58,46,22,71,79,67
245,18,-2,11,10,30,20,5,62
143,12,7,29,18,1,67,23,91
2,94,-6,68,61,34,93,96,92
216,14,12,5,8,-1,11,9,19
25,24,11,28,82,17,40,18,77
162,28,7,18,16,8,28,39,38
28,98,-10,60,72,32,99,82,88
102,51,18,14,71,5,87,91,74
156,36,7,12,19,8,26,39,25
138,55,2,39,31,27,68,49,42
103,50,2,30,34,29,59,49,45
94,67,-3,59,47,19,77,76,79
197,20,5,14,11,7,32,22,20
122,56,1,36,28,11,49,46,55
275,1,18,8,5,39,13,13,7
84,48,4,69,48,-13,78,9,89
175,27,6,15,16,30,33,33,38
69,63,-3,55,51,24,70,66,70
80,60,-5,59,48,15,72,70,61
274,9,12,5,9,3,5,7,12
168,29,6,12,17,31,29,21,29
62,64,-3,50,43,19,70,77,71
166,25,5,15,12,31,17,31,36
61,71,-5,41,47,16,74,63,69
90,75,-1,57,49,17,70,78,64
147,92,11,73,97,10,45,7,5
130,45,4,38,27,12,66,41,40
162,23,6,17,13,5,37,31,21
22,80,-6,73,63,30,90,98,87
27,89,-7,69,67,30,97,88,89
215,4,17,9,8,35,5,8,2
18,91,-10,66,73,33,92,94,95
114,49,2,28,22,12,51,51,42
292,24,5,64,52,30,83,77,14
80,62,-3,56,46,22,79,73,76
296,4,10,9,5,-3,13,18,16
298,11,18,9,6,39,5,14,13
193,28,5,10,12,7,24,27,34
36,86,-7,79,79,33,95,86,97
110,51,4,25,39,29,62,48,55
136,15,13,75,30,8,18,29,33
28,98,-8,61,69,34,98,99,95
37,96,-10,67,70,33,90,86,96
90,62,-4,54,44,20,79,63,74
46,85,-8,70,70,33,93,97,97
193,36,7,11,18,6,16,28,28
187,37,9,12,16,6,19,36,38
162,36,7,10,16,31,17,27,39
34,84,-8,71,71,33,93,88,86
266,91,14,49,22,15,98,46,98
238,7,19,9,7,36,10,16,13
56,65,-1,41,57,21,75,64,79
143,48,0,20,38,12,49,47,54
234,9,19,7,6,35,12,9,12
66,70,-4,59,43,23,76,61,78
236,1,18,6,8,37,11,11,14
124,58,3,26,29,25,57,58,43
187,25,7,18,14,7,15,25,34
138,41,0,24,25,11,51,49,45
173,29,8,11,17,31,34,20,24
79,76,-1,51,55,18,78,69,66
75,72,-2,46,43,19,73,60,67
158,20,5,10,17,32,36,22,30
91,65,-4,49,52,15,78,76,68
68,73,-1,51,49,18,70,70,61
81,73,-2,46,51,20,70,69,78
72,25,14,46,85,31,60,98,62
187,33,8,15,16,30,15,38,27
252,3,19,7,6,38,5,16,11
107,50,3,35,23,26,61,42,48
17,97,11,10,57,-3,8,90,6
202,0,19,9,8,3,5,15,9
15,86,-10,73,70,31,99,93,86
60,65,-3,52,40,18,78,74,73
192,29,7,16,19,9,29,22,38
93,71,-2,40,43,22,78,69,63
218,16,13,9,9,-3,5,8,12
170,28,-7,12,31,-9,63,90,27
173,21,5,13,17,9,21,27,20
21,97,-10,71,65,31,97,98,89
131,58,4,38,21,11,64,41,50
207,11,15,7,5,0,6,6,14
276,4,13,8,5,35,5,15,0
120,55,0,21,24,25,43,43,42
176,23,6,17,18,9,38,39,37
146,3,-8,63,48,1,48,96,29
71,62,-2,58,58,24,76,74,66
146,49,0,33,27,13,65,55,52
53,71,-1,55,56,19,77,61,63
82,68,-2,41,43,21,71,63,65
233,0,16,9,8,-1,8,18,5
182,24,8,10,16,9,37,22,28
119,44,1,23,34,14,43,59,49
215,2,18,9,8,36,6,11,17
236,13,10,9,8,37,7,13,5
262,15,18,9,7,37,5,8,11
119,42,4,22,35,10,54,42,51
200,51,-1,52,86,36,34,37,56
126,43,1,27,28,29,63,59,57
84,68,-2,57,42,18,75,71,71
194,31,8,11,19,9,21,20,32
64,65,-2,52,56,22,71,70,68
75,72,-4,57,47,17,75,60,74
91,65,-5,52,41,19,71,63,74
93,74,-4,59,46,24,75,77,62
26,97,-6,65,61,32,95,80,97
32,96,-10,74,61,34,97,87,98
142,57,2,30,21,10,57,46,54
73,66,-2,54,44,21,79,75,67
291,16,13,6,7,0,10,15,8
30,93,-6,60,68,30,97,92,98
170,25,7,12,19,7,25,36,23
158,30,9,11,16,31,28,29,22
282,4,13,6,5,3,10,15,0
124,56,4,22,20,28,68,40,42
10,89,-10,76,63,33,98,84,85
67,73,-4,59,57,20,76,70,74
263,78,10,19,52,39,16,53,16
128,49,2,22,37,27,61,59,44
163,89,-3,57,59,34,32,96,40
44,83,-10,62,76,33,94,99,83
264,1,15,7,5,-3,9,8,18
126,41,2,32,25,29,64,40,45
268,42,10,20,54,1,44,87,14
145,44,3,27,20,13,51,50,46
152,19,5,23,10,30,59,32,68
69,64,-4,49,45,20,74,68,71
210,11,-6,41,16,21,52,32,40
37,13,-3,53,1,1,82,93,55
131,55,3,27,35,14,57,54,52
52,72,-4,58,41,17,75,62,69
206,4,14,5,5,-3,8,14,16
132,57,4,33,37,29,50,55,56
40,94,-6,60,66,30,97,80,91
2,97,-6,71,71,32,95,81,91
230,4,18,7,7,3,10,8,6
144,58,1,31,38,14,51,56,56
152,36,5,18,15,9,24,22,37
190,28,8,19,18,31,39,21,35
141,40,1,23,29,10,46,40,56
271,14,14,8,6,3,7,16,13
195,70,19,40,94,35,38,74,44
168,22,7,11,15,9,15,31,30
177,28,6,19,10,31,39,22,27
205,70,6,8,37,32,64,67,85
184,84,12,15,94,-2,43,32,95
17,85,-9,78,64,30,92,89,98
139,55,3,20,20,10,66,40,59
172,38,9,17,15,33,16,32,20
125,42,3,33,21,12,55,47,46
203,9,17,7,5,-3,7,6,6
290,18,10,7,8,38,12,11,4
54,57,-4,56,11,0,84,47,99
140,58,3,34,28,13,49,51,59
217,8,10,9,8,-4,8,12,14
71,60,-1,45,44,16,70,70,69
275,76,6,53,35,17,5,19,76
189,31,7,16,16,30,16,28,31
92,64,-1,57,49,16,76,77,60
151,22,7,17,13,31,38,29,23
123,57,1,33,37,27,54,57,43
261,17,12,6,5,37,6,18,15
98,67,-5,48,41,24,76,63,71
25,99,-9,78,62,34,92,95,96
259,6,12,8,5,4,5,9,15
37,97,-10,60,65,34,94,96,89
23,93,-7,64,70,33,96,92,95
136,35,8,0,9,20,77,50,31
175,36,8,19,15,32,19,20,27
153,5,-7,28,58,18,21,47,79
80,73,-2,44,51,16,79,75,66
235,18,13,9,6,-5,11,13,7
154,29,7,19,14,34,36,27,26
208,16,12,9,8,2,10,18,13
25,91,-8,64,77,32,96,85,97
129,60,11,40,43,15,51,6,95
142,44,0,24,34,29,67,40,50
106,53,1,25,29,11,66,48,47
13,92,-8,73,73,34,95,92,96
143,50,4,35,21,11,62,47,52
20,83,-7,73,71,34,91,90,87
60,78,-4,58,51,20,70,73,77
75,76,7,54,74,3,39,57,25
210,17,10,9,8,35,8,5,14
31,96,-6,75,67,32,91,80,93
190,38,6,13,12,6,31,32,32
68,76,-5,49,49,20,76,75,77
232,10,19,5,9,3,13,6,2
197,21,5,12,19,30,19,25,39
144,58,3,22,34,26,69,41,42
25,87,-6,60,61,33,91,90,89
206,4,18,9,6,4,8,13,16
128,49,2,29,27,26,62,47,55
63,73,-3,49,42,19,70,74,68
64,64,6,0,93,25,7,50,54
81,71,-4,57,52,24,79,69,71
184,28,9,18,11,32,26,27,36
43,95,-7,76,60,31,98,89,81
49,96,-8,73,77,33,92,94,94
214,10,19,7,9,37,5,19,8
229,17,19,6,6,35,11,9,0
33,82,-8,72,66,34,91,85,88
40,93,-9,71,65,30,92,98,95
264,5,19,6,6,38,14,13,5
276,7,19,8,8,4,12,14,17
138,58,3,26,23,28,52,42,51
147,41,4,27,27,12,46,58,45
288,12,9,53,6,-1,91,18,86
233,8,15,9,6,1,14,7,17
68,71,-1,49,44,15,71,61,65
284,3,-1,55,16,-6,21,88,87
227,17,17,9,6,37,10,10,0
202,1,15,7,6,-3,14,18,15
158,29,5,16,19,31,21,31,22
53,4,19,56,16,32,51,27,78
43,91,-7,65,63,32,90,94,90
177,31,5,15,10,34,39,33,24
147,52,1,34,30,12,42,46,53
230,7,11,5,5,-3,8,12,18
111,41,1,29,30,28,45,43,51
135,57,1,36,22,27,45,52,54
92,76,-4,58,41,16,73,62,66
169,24,7,17,19,33,23,23,24
6,92,-6,76,62,31,90,86,80
209,10,17,7,5,-1,6,18,10
94,70,-4,51,52,18,76,61,74
36,87,-8,71,67,34,93,93,93
96,72,-4,48,57,17,79,61,64
25,88,-7,60,60,31,95,95,87
44,89,-9,79,75,30,98,85,92
236,90,-4,39,76,7,20,98,60
125,43,14,16,12,4,29,72,9
119,44,2,30,31,11,47,48,43
72,71,-4,43,44,24,78,75,69
258,11,12,9,6,39,5,7,7
51,81,-3,51,28,22,46,25,41
292,9,16,7,6,-3,6,15,19
66,68,-2,51,45,17,76,62,75
48,91,-6,60,76,32,99,94,83
37,99,-10,60,71,34,91,83,96
250,3,14,5,7,-5,7,9,15
117,45,0,34,33,27,63,58,51
0,80,-10,63,63,34,91,90,80
35,81,-9,63,65,31,92,98,91
85,73,-1,56,59,16,71,73,77
88,69,-2,54,44,23,72,64,67
79,61,-5,50,50,24,71,61,67
38,22,4,51,46,17,73,47,47
190,32,6,11,17,7,15,25,35
265,4,12,7,9,38,9,9,3
70,67,-5,46,40,24,76,78,78
186,35,8,14,17,34,22,29,36
215,68,9,38,12,25,61,57,11
95,74,-2,49,53,20,75,71,70
264,1,-9,59,60,15,14,80,35
151,32,5,12,16,32,38,31,32
39,81,-8,64,62,33,99,83,88
210,6,8,27,50,27,62,9,4
65,73,-5,44,45,20,76,63,77
237,15,14,9,5,36,12,17,18
286,8,17,9,5,-3,6,9,4
